words,i,me,my,mine,we,us,our,ours,he,she,it,they,him,her,them,his,hers,their,theirs,you,your,yours,,,,,
parent,First person,First person,First person,First person,Collective,Collective,Collective,Collective,Third person,Third person,Third person,Third person,Third person,Third person,Third person,Third person,Third person,Third person,Third person,Second person,Second person,Second person,,,,,
trump_all,2837,545,1453,11,2385,362,2764,3,1430,315,2226,2070,317,261,426,863,0,986,986,1977,716,4,,,,,
trump_all_value,58.54312835,11.24638877,29.98349154,0.226991333,43.25353645,6.565107,50.12694958,0.054406964,14.47368421,3.188259109,22.53036437,20.951417,3.208502024,2.641700405,4.311740891,8.734817814,0,9.979757085,9.979757085,73.30367075,26.54801631,0.14831294,,,,,
trump_last_two,1855,343,895,6,1469,240,1678,0,967,228,1436,1417,228,176,285,551,0,626,626,1390,527,3,,,,,
trump_last_two_value,59.85801872,11.06808648,28.88028396,0.193610842,43.37171538,7.08591674,49.54236788,0,14.78593272,3.486238532,21.95718654,21.66666667,3.486238532,2.691131498,4.357798165,8.425076453,0,9.571865443,9.571865443,72.39583333,27.44791667,0.15625,,,,,
trump_last_one,886,151,515,3,775,122,836,0,549,113,675,663,113,74,147,275,0,279,279,767,358,2,,,,,
trump_last_one_value,56.97749196,9.710610932,33.11897106,0.192926045,44.72013849,7.039815349,48.24004616,0,17.33501737,3.568045469,21.31354594,20.93463846,3.568045469,2.336596148,4.641616672,8.683296495,0,8.80959899,8.80959899,68.05678793,31.76574978,0.177462289,,,,,
obama_all,299,59,108,0,665,168,603,1,98,25,348,182,30,41,102,206,0,225,225,865,576,11,,,,,
obama_all_value,64.16309013,12.66094421,23.17596567,0,46.2769659,11.69102296,41.96242171,0.069589422,6.61268556,1.686909582,23.48178138,12.28070175,2.024291498,2.766531714,6.882591093,13.90013495,0,15.18218623,15.18218623,59.57300275,39.66942149,0.757575758,,,,,
obama_last_two,163,44,67,0,302,91,230,1,80,13,188,84,20,25,49,160,0,115,115,443,299,7,,,,,
obama_last_two_value,60.14760148,16.23616236,24.72324723,0,48.3974359,14.58333333,36.85897436,0.16025641,9.422850412,1.531213192,22.14369847,9.893992933,2.355712603,2.944640754,5.771495878,18.84570082,0,13.54534747,13.54534747,59.14552737,39.91989319,0.934579439,,,,,
obama_last_one,144,36,59,0,235,72,147,0,76,10,160,69,16,16,37,134,0,93,93,368,236,6,,,,,
obama_last_one_value,60.25104603,15.06276151,24.68619247,0,51.76211454,15.85903084,32.37885463,0,10.79545455,1.420454545,22.72727273,9.801136364,2.272727273,2.272727273,5.255681818,19.03409091,0,13.21022727,13.21022727,60.32786885,38.68852459,0.983606557,,,,,
