country,total_frequency,trump_frequency,obama_frequency
China,0.001199204,0.001455704,0.00013262
Russia,0.000705198,0.000870233,1.89E-05
Mexico,0.000440749,0.000539909,2.84E-05
Iran,0.000330562,0.000396389,5.68E-05
Georgia,0.000301178,0.000373608,0
Ukraine,0.000207519,0.000252869,1.89E-05
Japan,0.000174463,0.000205029,4.74E-05
Israel,0.000148753,0.00017997,1.89E-05
Syria,0.000143243,0.000173135,1.89E-05
France,0.000132225,0.000164023,0
Canada,0.000130388,0.000161745,0
Turkey,0.000130388,0.000152632,0.00E+00
Germany,0.000110187,0.000134408,9.47E-06
Vietnam,8.63E-05,0.000104792,9.47E-06
Iraq,0.00014508,7.52E-05,0.00043575
Venezuela,5.88E-05,7.29E-05,0
India,5.33E-05,6.15E-05,1.89E-05
Afghanistan,7.90E-05,5.47E-05,0.000179984
Argentina,3.86E-05,4.78E-05,0
Singapore,3.49E-05,4.10E-05,9.47E-06
Honduras,3.31E-05,4.10E-05,0
Italy,3.12E-05,3.87E-05,0
Poland,2.75E-05,2.96E-05,1.89E-05
Egypt,2.75E-05,2.96E-05,1.89E-05
Brazil,2.39E-05,2.96E-05,0
Switzerland,2.20E-05,2.73E-05,0
Bahrain,1.84E-05,2.28E-05,0
Sweden,1.84E-05,2.28E-05,0
Guatemala,1.84E-05,2.28E-05,0
Philippines,1.84E-05,2.05E-05,9.47E-06
Australia,1.65E-05,2.05E-05,0
Pakistan,1.65E-05,2.05E-05,0
Cuba,1.65E-05,1.82E-05,9.47E-06
Denmark,1.29E-05,1.59E-05,0
Lebanon,1.29E-05,1.59E-05,0
Sudan,1.10E-05,1.37E-05,0
Jordan,1.10E-05,1.37E-05,0
Spain,1.10E-05,1.37E-05,0
Ireland,1.10E-05,1.37E-05,0
Panama,9.18E-06,1.14E-05,0
Norway,9.18E-06,9.11E-06,9.47E-06
Somalia,7.35E-06,9.11E-06,0
Finland,7.35E-06,9.11E-06,0
Yemen,5.51E-06,6.83E-06,0
Nigeria,5.51E-06,6.83E-06,0
Kosovo,5.51E-06,6.83E-06,0
Chad,5.51E-06,6.83E-06,0
Qatar,5.51E-06,6.83E-06,0
Belgium,5.51E-06,6.83E-06,0
Thailand,5.51E-06,6.83E-06,0
Haiti,7.35E-06,4.56E-06,1.89E-05
Indonesia,3.67E-06,4.56E-06,0
Morocco,3.67E-06,4.56E-06,0
Serbia,3.67E-06,4.56E-06,0
Bolivia,3.67E-06,4.56E-06,0
Ethiopia,3.67E-06,4.56E-06,0
Colombia,3.67E-06,4.56E-06,0
Greece,3.67E-06,4.56E-06,0
Jamaica,3.67E-06,4.56E-06,0
Kuwait,3.67E-06,4.56E-06,0
Uganda,3.67E-06,4.56E-06,0
Libya,7.35E-06,2.28E-06,2.84E-05
Chile,3.67E-06,2.28E-06,9.47E-06
Austria,1.84E-06,2.28E-06,0
Cambodia,1.84E-06,2.28E-06,0
Ecuador,1.84E-06,2.28E-06,0
Malaysia,1.84E-06,2.28E-06,0
Kenya,1.84E-06,2.28E-06,0
Netherlands,1.84E-06,2.28E-06,0
Portugal,1.84E-06,2.28E-06,0
Uzbekistan,1.84E-06,2.28E-06,0
Kazakhstan,1.84E-06,2.28E-06,0
Estonia,1.84E-06,2.28E-06,0
Lithuania,1.84E-06,2.28E-06,0
Latvia,1.84E-06,2.28E-06,0
Rwanda,1.84E-06,2.28E-06,0
Zimbabwe,1.84E-06,2.28E-06,0
Botswana,1.84E-06,0,9.47E-06
United States,0.007031909,0.006342344,0.009898671
North Korea,0.000323216,0.000400945,0
