calc,trump,trump_last_two,trump_last_one,obama,obama_last_two,obama_last_one
total_first,4846,3099,1555,466,274,239
total_second,2697,1920,1127,1452,749,610
total_third,9880,6540,3167,1482,849,704
total_collective,5514,3387,1733,1437,624,454
total,22937,14946,7582,4837,2496,2007
pcnt_first,0.21127436,0.207346447,0.205091005,0.096340707,0.109775641,0.119083209
pcnt_second,0.117582945,0.128462465,0.148641519,0.300186066,0.300080128,0.303936223
pcnt_third,0.430745084,0.437575271,0.417699815,0.306388257,0.340144231,0.350772297
pcnt_collective,0.240397611,0.226615817,0.22856766,0.29708497,0.25,0.226208271
,,,,,,
,,,,,,
,,,,,,
,,,,,,
