year,month,date,obama_year,obama_month,obama_date,obama_tweet_count,trump_year,trump_month,trump_date,trump_tweet_count
2007,Apr,Apr 2007,2007,Apr,Apr 2007,1,,,,
2007,May,May 2007,2007,May,May 2007,10,,,,
2007,Jun,Jun 2007,2007,Jun,Jun 2007,3,,,,
2007,Jul,Jul 2007,2007,Jul,Jul 2007,2,,,,
2007,Aug,Aug 2007,2007,Aug,Aug 2007,3,,,,
2007,Sep,Sep 2007,2007,Sep,Sep 2007,2,,,,
2007,Oct,Oct 2007,2007,Oct,Oct 2007,1,,,,
2007,Nov,Nov 2007,2007,Nov,Nov 2007,2,,,,
2007,Dec,Dec 2007,2007,Dec,Dec 2007,5,,,,
2008,Jan,Jan 2008,2008,Jan,Jan 2008,14,,,,
2008,Feb,Feb 2008,2008,Feb,Feb 2008,12,,,,
2008,Mar,Mar 2008,2008,Mar,Mar 2008,29,,,,
2008,Apr,Apr 2008,2008,Apr,Apr 2008,14,,,,
2008,May,May 2008,2008,May,May 2008,12,,,,
2008,Jun,Jun 2008,2008,Jun,Jun 2008,18,,,,
2008,Jul,Jul 2008,2008,Jul,Jul 2008,18,,,,
2008,Aug,Aug 2008,2008,Aug,Aug 2008,13,,,,
2008,Sep,Sep 2008,2008,Sep,Sep 2008,17,,,,
2008,Oct,Oct 2008,2008,Oct,Oct 2008,28,,,,
2008,Nov,Nov 2008,2008,Nov,Nov 2008,8,,,,
2008,Dec,Dec 2008,2008,Dec,Dec 2008,0,,,,
2009,Jan,Jan 2009,2009,Jan,Jan 2009,2,,,,
2009,Feb,Feb 2009,2009,Feb,Feb 2009,0,,,,
2009,Mar,Mar 2009,2009,Mar,Mar 2009,1,,,,
2009,Apr,Apr 2009,2009,Apr,Apr 2009,2,,,,
2009,May,May 2009,2009,May,May 2009,7,2009,May,May 2009,21
2009,Jun,Jun 2009,2009,Jun,Jun 2009,13,2009,Jun,Jun 2009,11
2009,Jul,Jul 2009,2009,Jul,Jul 2009,6,2009,Jul,Jul 2009,5
2009,Aug,Aug 2009,2009,Aug,Aug 2009,11,2009,Aug,Aug 2009,7
2009,Sep,Sep 2009,2009,Sep,Sep 2009,20,2009,Sep,Sep 2009,3
2009,Oct,Oct 2009,2009,Oct,Oct 2009,9,2009,Oct,Oct 2009,4
2009,Nov,Nov 2009,2009,Nov,Nov 2009,22,2009,Nov,Nov 2009,3
2009,Dec,Dec 2009,2009,Dec,Dec 2009,21,2009,Dec,Dec 2009,2
2010,Jan,Jan 2010,2010,Jan,Jan 2010,47,2010,Jan,Jan 2010,4
2010,Feb,Feb 2010,2010,Feb,Feb 2010,20,2010,Feb,Feb 2010,4
2010,Mar,Mar 2010,2010,Mar,Mar 2010,33,2010,Mar,Mar 2010,10
2010,Apr,Apr 2010,2010,Apr,Apr 2010,15,2010,Apr,Apr 2010,18
2010,May,May 2010,2010,May,May 2010,19,2010,May,May 2010,17
2010,Jun,Jun 2010,2010,Jun,Jun 2010,29,2010,Jun,Jun 2010,17
2010,Jul,Jul 2010,2010,Jul,Jul 2010,28,2010,Jul,Jul 2010,13
2010,Aug,Aug 2010,2010,Aug,Aug 2010,29,2010,Aug,Aug 2010,16
2010,Sep,Sep 2010,2010,Sep,Sep 2010,28,2010,Sep,Sep 2010,13
2010,Oct,Oct 2010,2010,Oct,Oct 2010,57,2010,Oct,Oct 2010,9
2010,Nov,Nov 2010,2010,Nov,Nov 2010,26,2010,Nov,Nov 2010,11
2010,Dec,Dec 2010,2010,Dec,Dec 2010,20,2010,Dec,Dec 2010,10
2011,Jan,Jan 2011,2011,Jan,Jan 2011,46,2011,Jan,Jan 2011,9
2011,Feb,Feb 2011,2011,Feb,Feb 2011,15,2011,Feb,Feb 2011,16
2011,Mar,Mar 2011,2011,Mar,Mar 2011,18,2011,Mar,Mar 2011,36
